Name,Type,collecting-iterations,tree-iterations,average-precision,recall
Evaluation/All/log_5_150_40_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,3,19,0.6,0.6363013698630137
Evaluation/All/log_5_150_40_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,21,1,1
Evaluation/All/log_2_150_80_25_30_0_4_1850_FLOAT_M_NOT_usingTree.txt,Random,7,12,0.087,0.14108108108108108
Evaluation/All/log_3_50_40_29_30_1_2_258_FLOAT_M_usingTree.txt,PSteering,67,5,0.25999999999999995,0.5077519379844961
Evaluation/All/log_3_50_40_29_30_1_2_258_FLOAT_M_usingTree.txt,PERFECT,0,7,1,1
Evaluation/All/log_4_100_40_10_20_0_3_3180_FLOAT_M_NOT_usingTree.txt,Random,4,36,0.15048780487804878,0.19402515723270441
Evaluation/All/log_2_50_40_25_30_0_4_1850_FLOAT_M_usingTree.txt,PSteering,10,35,0.6988571428571427,0.7048648648648649
Evaluation/All/log_2_50_40_25_30_0_4_1850_FLOAT_M_usingTree.txt,PERFECT,0,37,1,1
Evaluation/All/log_4_100_40_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,4,36,0.6241666666666668,0.7468553459119497
Evaluation/All/log_4_100_40_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,33,1,1
Evaluation/All/log_2_50_60_25_30_0_4_1850_FLOAT_M_usingTree.txt,PSteering,13,37,0.6837837837837837,0.7378378378378379
Evaluation/All/log_2_50_60_25_30_0_4_1850_FLOAT_M_usingTree.txt,PERFECT,0,37,1,1
Evaluation/All/log_5_150_20_1.2_50.15_3.16_3.9_2920_FLOAT_M_NOT_usingTree.txt,Random,2,23,0.13538461538461538,0.18082191780821918
Evaluation/All/log_3_100_40_29_30_1_2_258_FLOAT_M_NOT_usingTree.txt,Random,34,3,0.01263157894736842,0.18604651162790697
Evaluation/All/log_4_100_60_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,5,32,0.6821874999999998,0.7352201257861635
Evaluation/All/log_4_100_60_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,33,1,1
Evaluation/All/log_1_100_80_15_30_3_12_4742_FLOAT_M_usingTree.txt,PSteering,6,45,0.8495555555555555,0.8433150569380008
Evaluation/All/log_1_100_80_15_30_3_12_4742_FLOAT_M_usingTree.txt,PERFECT,0,49,1,1
Evaluation/All/log_3_150_40_29_30_1_2_258_FLOAT_M_NOT_usingTree.txt,Random,23,2,0.013076923076923076,0.19767441860465115
Evaluation/All/log_1_100_80_15_30_3_12_4742_FLOAT_M_NOT_usingTree.txt,Random,6,45,0.19576923076923078,0.21467735132855334
Evaluation/All/log_4_150_20_10_20_0_3_3180_FLOAT_M_NOT_usingTree.txt,Random,2,19,0.15363636363636363,0.15943396226415094
Evaluation/All/log_4_100_20_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,3,27,0.7151851851851851,0.6433962264150943
Evaluation/All/log_4_100_20_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,33,1,1
Evaluation/All/log_2_50_20_25_30_0_4_1850_FLOAT_M_usingTree.txt,PSteering,5,34,0.666470588235294,0.6448648648648648
Evaluation/All/log_2_50_20_25_30_0_4_1850_FLOAT_M_usingTree.txt,PERFECT,0,37,1,1
Evaluation/All/log_5_100_80_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,8,27,0.704074074074074,0.709931506849315
Evaluation/All/log_5_100_80_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,31,1,1
Evaluation/All/log_3_100_60_29_30_1_2_258_FLOAT_M_usingTree.txt,PSteering,51,2,0.16,0.5426356589147286
Evaluation/All/log_3_100_60_29_30_1_2_258_FLOAT_M_usingTree.txt,PERFECT,0,4,1,1
Evaluation/All/log_4_150_80_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,4,22,0.6618181818181816,0.7474842767295597
Evaluation/All/log_4_150_80_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,23,1,1
Evaluation/All/log_4_150_40_10_20_0_3_3180_FLOAT_M_NOT_usingTree.txt,Random,3,23,0.15012345679012346,0.19119496855345913
Evaluation/All/log_2_100_80_25_30_0_4_1850_FLOAT_M_NOT_usingTree.txt,Random,9,21,0.08645161290322581,0.14486486486486486
Evaluation/All/log_1_100_20_15_30_3_12_4742_FLOAT_M_NOT_usingTree.txt,Random,3,46,0.1942,0.20476592155208773
Evaluation/All/log_3_100_80_29_30_1_2_258_FLOAT_M_NOT_usingTree.txt,Random,72,2,0.012,0.3488372093023256
Evaluation/All/log_5_50_20_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,4,75,0.5621333333333334,0.7400684931506849
Evaluation/All/log_5_50_20_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,60,1,1
Evaluation/All/log_3_50_20_29_30_1_2_258_FLOAT_M_usingTree.txt,PSteering,26,6,0.20333333333333334,0.3643410852713178
Evaluation/All/log_3_50_20_29_30_1_2_258_FLOAT_M_usingTree.txt,PERFECT,0,7,1,1
Evaluation/All/log_5_150_80_1.2_50.15_3.16_3.9_2920_FLOAT_M_NOT_usingTree.txt,Random,6,17,0.13583333333333333,0.16746575342465753
Evaluation/All/log_4_100_20_10_20_0_3_3180_FLOAT_M_NOT_usingTree.txt,Random,3,27,0.15451612903225806,0.15062893081761006
Evaluation/All/log_3_150_80_29_30_1_2_258_FLOAT_M_NOT_usingTree.txt,Random,49,2,0.012564102564102564,0.3798449612403101
Evaluation/All/log_5_50_60_1.2_50.15_3.16_3.9_2920_FLOAT_M_NOT_usingTree.txt,Random,11,48,0.13566666666666666,0.1393835616438356
Evaluation/All/log_1_150_60_15_30_3_12_4742_FLOAT_M_usingTree.txt,PSteering,4,30,0.8371111111111111,0.8405735976381273
Evaluation/All/log_1_150_60_15_30_3_12_4742_FLOAT_M_usingTree.txt,PERFECT,0,33,1,1
Evaluation/All/log_3_150_60_29_30_1_2_258_FLOAT_M_usingTree.txt,PSteering,35,2,0.05333333333333334,0.5736434108527132
Evaluation/All/log_3_150_60_29_30_1_2_258_FLOAT_M_usingTree.txt,PERFECT,0,3,1,1
Evaluation/All/log_1_150_60_15_30_3_12_4742_FLOAT_M_NOT_usingTree.txt,Random,4,30,0.1956190476190476,0.21657528469000423
Evaluation/All/log_5_150_60_1.2_50.15_3.16_3.9_2920_FLOAT_M_NOT_usingTree.txt,Random,5,16,0.13454545454545455,0.15205479452054796
Evaluation/All/log_2_150_20_25_30_0_4_1850_FLOAT_M_usingTree.txt,PSteering,3,13,0.5856410256410256,0.6881081081081081
Evaluation/All/log_2_150_20_25_30_0_4_1850_FLOAT_M_usingTree.txt,PERFECT,0,14,1,1
Evaluation/All/log_5_50_80_1.2_50.15_3.16_3.9_2920_FLOAT_M_NOT_usingTree.txt,Random,14,51,0.13454545454545455,0.15205479452054796
Evaluation/All/log_1_100_20_15_30_3_12_4742_FLOAT_M_usingTree.txt,PSteering,3,46,0.7882608695652175,0.789962041332771
Evaluation/All/log_1_100_20_15_30_3_12_4742_FLOAT_M_usingTree.txt,PERFECT,0,49,1,1
Evaluation/All/log_2_50_20_25_30_0_4_1850_FLOAT_M_NOT_usingTree.txt,Random,5,34,0.0885,0.09567567567567567
Evaluation/All/log_2_150_60_25_30_0_4_1850_FLOAT_M_usingTree.txt,PSteering,5,13,0.64,0.7637837837837838
Evaluation/All/log_2_150_60_25_30_0_4_1850_FLOAT_M_usingTree.txt,PERFECT,0,14,1,1
Evaluation/All/log_2_150_60_25_30_0_4_1850_FLOAT_M_NOT_usingTree.txt,Random,5,13,0.08842105263157894,0.1362162162162162
Evaluation/All/log_4_50_20_10_20_0_3_3180_FLOAT_M_NOT_usingTree.txt,Random,4,57,0.15451612903225806,0.15062893081761006
Evaluation/All/log_2_150_40_25_30_0_4_1850_FLOAT_M_usingTree.txt,PSteering,4,12,0.6422222222222221,0.707027027027027
Evaluation/All/log_2_150_40_25_30_0_4_1850_FLOAT_M_usingTree.txt,PERFECT,0,14,1,1
Evaluation/All/log_3_50_80_29_30_1_2_258_FLOAT_M_usingTree.txt,PSteering,143,4,0.335,0.6744186046511628
Evaluation/All/log_3_50_80_29_30_1_2_258_FLOAT_M_usingTree.txt,PERFECT,0,7,1,1
Evaluation/All/log_4_50_40_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,6,63,0.6869841269841269,0.7078616352201258
Evaluation/All/log_4_50_40_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,65,1,1
Evaluation/All/log_2_50_40_25_30_0_4_1850_FLOAT_M_NOT_usingTree.txt,Random,10,35,0.08739130434782609,0.10864864864864865
Evaluation/All/log_5_150_60_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,5,16,0.6716666666666666,0.6150684931506849
Evaluation/All/log_5_150_60_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,21,1,1
Evaluation/All/log_5_100_20_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PSteering,3,35,0.5654285714285715,0.7109589041095891
Evaluation/All/log_5_100_20_1.2_50.15_3.16_3.9_2920_FLOAT_M_usingTree.txt,PERFECT,0,31,1,1
Evaluation/All/log_6_100_20_37.69_38.38_1.78_2.71_0_FLOAT_M_usingTree.txt,PERFECT,0,0,1,1
Evaluation/All/log_4_50_60_10_20_0_3_3180_FLOAT_M_usingTree.txt,PSteering,8,67,0.6820895522388057,0.7522012578616353
Evaluation/All/log_4_50_60_10_20_0_3_3180_FLOAT_M_usingTree.txt,PERFECT,0,65,1,1
